series_name,director_name,genre,ratings,performers,ott_platform
College Romance Season 2,Apoorv Singh Karki,Drama Comedy,3.1,"Manjot Singh, Apoorva Arora, Keshav Sadhna, Gagan Arora, Shreya Mehta",SonyLIV
The Legend of Hanuman Season 1,"Jeevan J. Kang, Navin John",Animation Epic,3.3,Not decided,Disney+ Hotstar
Snowpiercer Season 2,"Christoph Schrewe, David Frazee, Leslie Hope, Rebecca Rodriguez, Clare Kilner",Climate fiction Drama Dystopian Post-apocalyptic Thriller,3.531681244,"Jennifer Connelly, Daveed Diggs, Mickey Sumner, Alison Wright, Iddo Goldberg, Susan Park, Katie McGuinness, Sam Otto, Sheila Vand, Mike O'Malley, Annalise Basso, Jaylin Fletcher, Lena Hall, Roberto Urbina, Steven Ogg, Rowan Blanchard, Sean Bean",Netflix
Bang Baang,Baljit Singh Chaddha,Mystery,2.4,"Ruhi Singh, Mr. Faisu, Amit Jairath, Gurpreet Bedi, Disha Kumari, Ratnakar Upadhayay",ALTT (ALTBalaji)
Fate: The Winx Saga Season 1,"Lisa James Larsson, Hannah Quinn, Stephen Woolfenden",Teen drama Supernatural Dark fantasy,3.531681244,"Abigail Cowen, Hannah van der Westhuysen, Precious Mustapha, Eliot Salt, Elisha Applebaum, Danny Griffin, Sadie Soverall, Freddie Thorp, Eva Birthistle, Robert James-Collier, Eve Best, Lesley Sharp",Netflix
Star Trek: Lower Decks Season 1,"Barry J. Kelly, Kim Arndt, Bob Suarez",Unknown,0.5,"Tawny Newsome, Jack Quaid, Noël Wells, Eugene Cordero, Dawnn Lewis, Jerry O'Connell, Fred Tatasciore, Gillian Vigman",Prime Video
Riverdale Season 5,"Gabriel Correa, Steven A. Adelson, Rob Seidenglanz, Pamela Romanowsky, Rachel Talalay, James DeWille, Jeff Woolnough, Mädchen Amick, Tessa Blake, Robin Givens, Nathalie Boltt, Ronald Richard",Musical Teen drama Mystery,3.531681244,"KJ Apa, Lili Reinhart, Camila Mendes, Cole Sprouse, Marisol Nichols, Madelaine Petsch, Ashleigh Murray, Mädchen Amick, Luke Perry, Mark Consuelos, Casey Cott, Skeet Ulrich, Charles Melton, Vanessa Morgan, Drew Ray Tanner, Erinn Westbrook, Jordan Conner",Netflix
9-1-1: Lone Star Season 2,"Bradley Buecker, Sanaa Hamri, Marita Grabiak, Sharat Raju, Chad Lowe, Ben Hernandez Bray, Paula Hunziker, Marcus Stokes",Procedural drama,3.531681244,"Rob Lowe, Liv Tyler, Ronen Rubinstein, Sierra McClain, Jim Parrack, Natacha Karam, Brian Michael Smith, Rafael L. Silva, Julian Works, Gina Torres, Brianna Baker, Kelsey Yates, Skyler Yates",Disney+ Hotstar
Walker Season 1,"Jessica Yu, Steve Robin, Randy Zisk, John T. Kretchmer, Amyn Kaderali, Bola Ogun, Stacey K. Black, Alex Pillai, Diana Valentine, Tessa Blake, Joel Novoa, Richard Speight Jr.",Action Drama Crime Police procedural Contemporary Western,3.531681244,"Jared Padalecki, Lindsey Morgan, Molly Hagan, Keegan Allen, Violet Brinson, Kale Culley, Coby Bell, Jeff Pierre, Mitch Pileggi, Odette Annable, Ashley Reyes, Genevieve Padalecki, Matt Barr, Alex Landi, Gabriela Flores, Jeffrey Nordling, Madelyn Kientz, Mandy McMillian, Gavin Casalegno, Austin Nichols, Joe Perez, Cameron Vitosh",Voot
9-1-1 Season 4,"Bradley Buecker, David Grossman, Brenna Malloy, Joaquin Sedillo, Marcus Stokes, Jann Turner, Tasha Smith, Robert M. Williams Jr., Marita Grabiak, Ben Hernandez Bray, Paula Hunziker, Sharat Raju, Kristin Windell, James Wong",Procedural drama,3.531681244,"Stars Angela Bassett, Peter Krause, Oliver Stark",Disney+ Hotstar
Disenchantment Season 3,"Brian Sheesley, Edmund Fong, Ira Sherak, Crystal Chesney-Thompson, Ed Tadem, Raymie Muzquiz, Lauren MacMullan, Jeff Myers, Dwayne Carey-Hill",Animated sitcom Fantasy Adventure Satire,3.531681244,"Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio, David Herman, Maurice LaMarche, Billy West, Tress MacNeille, Rich Fulcher, Lucy Montgomery",Netflix
Gullak Season 2,"Amrit Raj Gupta, Palash Vaswani",Drama Comedy,3.7,"Jameel Khan, Geetanjali Kulkarni, Vaibhav Raj Gupta, Harsh Mayar, Shivankit Singh Parihar, Sunita Rajwar, Deepak Kumar Mishra, Saad Bilgrami",SonyLIV
Servant Season 2,"Julia Ducournau, Ishana Night Shyamalan, M. Night Shyamalan, Lisa Brühlmann, Isabella Eklöf, Nimród Antal",Unknown,4.5,"Lauren Ambrose, Toby Kebbell, Nell Tiger Free, Rupert Grint",Apple TV+
Tandav Season 1,Ali Abbas Zafar,Thriller Action Political drama,3.3,"Saif Ali Khan, Sunil Grover, Tigmanshu Dhulia, Dimple Kapadia, Mohammed Zeeshan Ayyub, Dino Morea, Anup Soni",Prime Video
WandaVision,Matt Shakman,Mystery,2.8,"Elizabeth Olsen, Paul Bettany, Debra Jo Rupp, Fred Melamed, Kathryn Hahn, Teyonah Parris, Randall Park, Kat Dennings, Evan Peters",Disney+ Hotstar
The Resident Season 4,"Rob Corn, Kelli Williams, Paul McCrane, David Crabtree, Rob Greenlea, Edward Ornelas, James Whitmore Jr., Li Lu, Julie Hébert, Sam Friedlander, Pablo Gómez-Castro, Amyn Kaderali",Medical drama,3.531681244,"Matt Czuchry, Emily VanCamp, Manish Dayal, Shaunette Renée Wilson, Bruce Greenwood, Malcolm-Jamal Warner, Glenn Morshower, Jane Leeves, Morris Chestnut, Jessica Lucas, Anuja Joshi, Miles Fowler",Disney+ Hotstar
Lupin Season 1,"Louis Leterrier, Marcela Said",Crime drama Thriller Mystery,3.531681244,"Omar Sy, Ludivine Sagnier, Clotilde Hesme, Nicole Garcia, Hervé Pierre, Antoine Gouy, Soufiane Guerrab, Vincent Londez, Shirine Boutella",Netflix
The Great North Season 1,"Carlos Ramos, Casey Crowe, Joel Moser, Will Strode, Paul Scarlata, Neil Graf",Unknown,3.531681244,"Nick Offerman, Jenny Slate, Will Forte, Dulcé Sloan, Paul Rust, Aparna Nancherla, Ron Funches, Megan Mullally, Alanis Morissette, Judith Shelton, Julio Torres, Robin Thede, Ray Dewilde, David Herman, Ariel Tweto Nat Faxon, John Early, Chelsea Peretti, Phil LaMarr, Gabe Delahaye, Mindy Sterling, Andy Daly, Kelvin Yu, Brooke Dillman, Tim Jennings, Rose Abdoo, Mark McKinney, Patti Harrison, J. K. Simmons, Rhys Darby, Rob Delaney, Leslie Jordan, Shannon Woodward, Wyatt Cenac, Margaret Cho, Paul F. Tompkins, Reggie Watts, Ziwe Fumudoh",Disney+ Hotstar
Cobra Kai Season 3,"Jon Hurwitz, Hayden Schlossberg, Jennifer Celotta, Josh Heald",Unknown,3.531681244,"Ralph Macchio, William Zabka, Courtney Henggeler, Xolo Maridueña, Tanner Buchanan, Mary Mouser, Jacob Bertrand, Gianni DeCenzo, Martin Kove, Vanessa Rubio, Peyton List, Peyton List",Netflix
Bridgerton Season 1,"Tom Verica, Sheree Folkson, Alrick Riley, Julie Anne Robinson",Alternate history Regency romance,2.0,"Adjoa Andoh, Lorraine Ashbourne, Jonathan Bailey, Ruby Barker, Sabrina Bartlett, Harriet Cains, Bessie Carter, Nicola Coughlan, Phoebe Dynevor, Ruth Gemmell, Florence Hunt, Claudia Jessie, Ben Miller, Luke Newton, Regé-Jean Page, Golda Rosheuvel, Luke Thompson, Will Tilston, Polly Walker, Julie Andrews",Netflix
